ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	COGIDS	MORPHEMES	COGNACY	BORROWING	NOTE
1643	Paumari	BLACK-FRONTED NUNBIRD	taβikororo	taβikororo	t a β i k o r o r o	t a β i k o r o r o	329.0	329	BLACK-FRONTED.NUNBIRD			
1844	Sorowaha	BLACK-FRONTED NUNBIRD	tawakoɾo	tawakoɾo	t a w a k o ɾ o	t a w a k o ɾ o - -	329.0	329	BLACK-FRONTED.NUNBIRD			
40	Banawa	BLOOD	ame	ame	a m e	a m e	206.0	206	BLOOD			ame/emene
314	Deni	BLOOD	ama	ama	a m a	a m a	206.0	206	BLOOD			
647	Jamamadi	BLOOD	ame	ame	a m e	a m e	206.0	206	BLOOD			ame/emene
924	Jarawara	BLOOD	ame	ame	a m e	a m e	206.0	206	BLOOD			ame/emene
1291	Kulina	BLOOD	ama	ama	a m a	a m a	206.0	206	BLOOD			
1644	Paumari	BLOOD	ama	ama	a m a	a m a	206.0	206	BLOOD			
1845	Sorowaha	BLOOD	amɨ	amɨ	a m aː	a m aː	206.0	206	BLOOD			
11821	Paumari_1833	BLOOD	ama	ama	a m a	a m a	206.0	206	BLOOD			
41	Banawa	BRANCH	ini	ini	i n i	i n i	251.0	251	BRANCH			
315	Deni	BRANCH	ini	ini	i n i	i n i	251.0	251	BRANCH			
648	Jamamadi	BRANCH	ini	ini	i n i	i n i	251.0	251	BRANCH			
926	Jarawara	BRANCH	ini	ini	i n i	i n i	251.0	251	BRANCH			
1292	Kulina	BRANCH	ini	ini	i n i	i n i	251.0	251	BRANCH			
1846	Sorowaha	BRANCH	ini	ini	i n i	i n i	251.0	251	THORN			
11783	Paumari	BRANCH	ava	ava	a β a	a β a	1371.0	1334	BRANCH			
42	Banawa	BREAK (DESTROY OR GET DESTROYED)	baka	baka	b a k a	b a k a	20.0	20	BREAK			
316	Deni	BREAK (DESTROY OR GET DESTROYED)	baka	baka	b a k a	b a k a	20.0	20	BREAK			
328	Deni	BREAK (DESTROY OR GET DESTROYED)	dobe	dobe	d o b e	d o b e	578.0	565	DEMOLISH			
649	Jamamadi	BREAK (DESTROY OR GET DESTROYED)	baka	baka	b a k a	b a k a	20.0	20	BREAK			
927	Jarawara	BREAK (DESTROY OR GET DESTROYED)	baka	baka	b a k a	b a k a	20.0	20	BREAK			
1649	Paumari	BREAK (DESTROY OR GET DESTROYED)	oba / ihima	oba	o b a	- o b a	578.0	565	DEMOLISH			
1854	Sorowaha	BREAK (DESTROY OR GET DESTROYED)	obo / kawaɾu / kawa	obo	o b o	- o b o	578.0	565	DEMOLISH			
10107	Sorowaha	BREAK (DESTROY OR GET DESTROYED)	obo / kawaɾu / kawa	kawaɾu	k a w a ɾ u	k a w a ɾ u	732.0	682	BREAK			
10109	Sorowaha	BREAK (DESTROY OR GET DESTROYED)	obo / kawaɾu / kawa	kawa	k a w a	k a w a	732.0	682	BREAK			
11003	Paumari	BREAK (DESTROY OR GET DESTROYED)	oba / ihima	ihima	i h i m a	i h i m a	1008.0	966	BREAK			
12231	Kulina	BREAK (DESTROY OR GET DESTROYED)	barari	barari	b a r a r i	b a r a r i	1555.0	1535	BREAK			
43	Banawa	BREAST	johari	johari	j o h a r i	j o h a r i	262.0	262	BREAST			
317	Deni	BREAST	johori	johori	j o h o r i	j o h o r i	262.0	262	BREAST			
650	Jamamadi	BREAST	johari	johari	j o h a r i	j o h a r i	262.0	262	BREAST			
928	Jarawara	BREAST	johari	johari	j o h a r i	j o h a r i	262.0	262	BREAST			
1293	Kulina	BREAST	bakʰo / johoɾi	bakʰo	b a kʰ o	b a kʰ o - -	515.0	21	CHEST			
1294	Kulina	BREAST	bakʰo / johoɾi	johoɾi	j o h o ɾ i	j o h o ɾ i	262.0	262	BREAST			
1645	Paumari	BREAST	joho	joho	dʒ o h o	dʒ o h o - -	262.0	262	BREAST			
1847	Sorowaha	BREAST	joho	joho	j o h o	j o h o - -	262.0	262	BREAST			
11823	Paumari_1833	BREAST	bui	bui	b ui	b ui	1395.0	1362	BREAST			
44	Banawa	CAPUCHIN MONKEY	jowi	jowi	j o w i	j o w i - -	263.0	263	CAPUCHIN.MONKEY			
224	Banawa	CAPUCHIN MONKEY	kiso	kiso	k i s o	k i s o	108.0	108	CAPUCHIN.MONKEY			
318	Deni	CAPUCHIN MONKEY	jowihi	jowihi	j o w i h i	j o w i h i	263.0	263	CAPUCHIN.MONKEY			
651	Jamamadi	CAPUCHIN MONKEY	jowihi / kiso	jowihi	j o w i h i	j o w i h i	263.0	263	CAPUCHIN.MONKEY			
832	Jamamadi	CAPUCHIN MONKEY	jowihi / kiso	kiso	k i s o	k i s o	108.0	108	CAPUCHIN.MONKEY			
929	Jarawara	CAPUCHIN MONKEY	jowi	jowi	j o w i	j o w i - -	263.0	263	CAPUCHIN.MONKEY			
1186	Jarawara	CAPUCHIN MONKEY	kiso	kiso	k i s o	k i s o	108.0	108	CAPUCHIN.MONKEY			
1295	Kulina	CAPUCHIN MONKEY	jowihi	jowihi	j o w i h i	j o w i h i	263.0	263	CAPUCHIN.MONKEY			
1848	Sorowaha	CAPUCHIN MONKEY	jowi	jowi	j o w i	j o w i - -	263.0	263	CAPUCHIN.MONKEY			
1957	Sorowaha	CAPUCHIN MONKEY	kiso	kiso	k i s o	k i s o	108.0	108	CAPUCHIN.MONKEY			
11784	Paumari	CAPUCHIN MONKEY	dikosi	dikosi	ɗ i k o s i	ɗ i k o s i	1372.0	1335	CAPUCHIN.MONKEY			
12081	Paumari_1833	CAPUCHIN MONKEY	tikuʃi	tikuʃi	t i k u ʃ i	t i k u ʃ i	1372.0	1335	CAPUCHIN.MONKEY			
45	Banawa	YAM	biha	biha	b i h a	b i h a	330.0	330	YAM			
319	Deni	YAM	biha	biha	b i h a	b i h a	330.0	330	YAM			
652	Jamamadi	YAM	biha	biha	b i h a	b i h a	330.0	330	YAM			
930	Jarawara	YAM	biha	biha	b i h a	b i h a	330.0	330	YAM			
1296	Kulina	YAM	biha	biha	b i h a	b i h a	330.0	330	YAM			
5032	Sorowaha	YAM	uusə / ahazubi	uusə	uː s ə	uː s ə	1297.0	1297	YAM			
10037	Sorowaha	YAM	uusə / ahazubi	ahazubi	a h a z u b i	a h a z u b i	657.0	616	YAM			
11785	Paumari	YAM	ʔiirori	ʔiirori	ʔ iː r o r i	ʔ iː r o r i	1373.0	1336	YAM			
47	Banawa	CATCH	wata	wata	w a t a	w a t a	235.0	235	CATCH			
654	Jamamadi	CATCH	wata	wata	w a t a	w a t a	235.0	235	CATCH			
933	Jarawara	CATCH	wata	wata	w a t a	w a t a	235.0	235	CATCH			
1646	Paumari	CATCH	gathi	gathi	g a t̪ʰ i	g a t̪ʰ i	235.0	235	CATCH			
1851	Sorowaha	CATCH	gata	gata	g a t a	g a t a	235.0	235	CATCH			
11869	Deni	CATCH	dama	dama	d a m a	d a m a	1413.0	1390	CATCH			
12247	Kulina	CATCH	naitha	naitha	n ai tʰ a	n ai tʰ a	235.0	235	CATCH			
48	Banawa	CHEEK	abate	abate	a b a t e	a b a t e	331.0	331	CHEEK			abate/ebete
428	Deni	CHEEK	ebethe	ebethe	e b e tʰ e	e b e tʰ e	598.0	331	CHEEK			
655	Jamamadi	CHEEK	abete	abete	a b e t e	a b e t e	331.0	331	CHEEK			abete/ebete
934	Jarawara	CHEEK	abate	abate	a b a t e	a b a t e	331.0	331	CHEEK			abate/ebete
1297	Kulina	CHEEK	ɛbɛt̪ʰɛ	ɛbɛt̪ʰɛ	ɛ b ɛ t̪ʰ ɛ	ɛ b ɛ t̪ʰ ɛ	331.0	331	CHEEK			
11174	Sorowaha	CHEEK	marusɨ	marusɨ	m a r u s ɨ	m a r u s ɨ	1122.0	1080	CHEEK			
11787	Paumari	CHEEK	ʔbaʔda	ʔbaʔda	ʔ b a ʔ d a	ʔ b a ʔ d a	331.0	331	CHEEK			
52	Banawa	COUGH	toho	toho	t o h o	- t o h o	333.0	333	COUGH			
325	Deni	COUGH	thoho	thoho	t̪ʰ o h o	- t̪ʰ o h o	333.0	333	COUGH			
658	Jamamadi	COUGH	toho	toho	t o h o	- t o h o	333.0	333	COUGH			
940	Jarawara	COUGH	toho	toho	t o h o	- t o h o	333.0	333	COUGH			onomatopoeic
1304	Kulina	COUGH	t̪ʰoho	t̪ʰoho	t̪ʰ o h o	- t̪ʰ o h o	333.0	333	COUGH			
1648	Paumari	COUGH	otoho	otoho	o t o h o	o t o h o	333.0	333	COUGH			
1852	Sorowaha	COUGH	toho	toho	t o h o	- t o h o	333.0	333	COUGH			
53	Banawa	DEER	bado	bado	b a d o	b a d o	214.0	214	DEER			
327	Deni	DEER	bado	bado	b a d o	b a d o -	214.0	214	DEER			
660	Jamamadi	DEER	bado	bado	b a d o	b a d o -	214.0	214	DEER			
942	Jarawara	DEER	bato	bato	b a t o	b a t o -	214.0	214	DEER			
1306	Kulina	DEER	bado	bado	b a d o	b a d o -	214.0	214	DEER			
5021	Sorowaha	DEER	zuumi	zuumi	z uː m i	z uː m i	517.0	504	DEER			
10990	Paumari	DEER	hotairi	hotairi	h o t ai r i	h o t ai r i	1013.0	969	DEER			
12072	Paumari_1833	DEER	utari	utari	u t a r i	u t a r i	1013.0	969	DEER			
55	Banawa	DRY	hoko	hoko	h o k o	h o k o - -	234.0	234	DRY			
331	Deni	DRY	hoko / kukutunade	hoko	h o k o	h o k o - -	234.0	234	DRY			
332	Deni	DRY	hoko / kukutunade	kukutunade	k u k u t u n a d e	k u k u t u n a d e	518.0	505	DRY			
662	Jamamadi	DRY	hokori	hokori	h o k o r i	h o k o r i	234.0	234	DRY			
949	Jarawara	DRY	hoko	hoko	h o k o	h o k o - -	234.0	234	DRY			
1310	Kulina	DRY	hoko	hoko	h o k o	h o k o - -	234.0	234	DRY			
5055	Sorowaha	DRY	gahu / kasɨɾu / kasakaɾi	gahu	g a h u	g a h u	519.0	506	DRY			
10112	Sorowaha	DRY	gahu / kasɨɾu / kasakaɾi	kasɨɾu	k a s ɨ ɾ u	k a s ɨ ɾ u	735.0	698	DRY			
10122	Sorowaha	DRY	gahu / kasɨɾu / kasakaɾi	kasakaɾi	k a s a k a ɾ i	k a s a k a ɾ i	735.0	698	DRY			
11788	Paumari	DRY	araʔokho / afora	araʔokho	a r a ʔ o kʰ o	a r a ʔ o kʰ o	234.0	234	DRY			
11789	Paumari	DRY	araʔokho / afora	afora	a ɸ o r a	a ɸ o r a	1375.0	1338	DRY			
56	Banawa	EAR	warabi	warabi	w a r a b i	w a r a b i	300.0	300	EAR			
333	Deni	EAR	waribo	waribo	w a r i b o	w a r i b o	300.0	300	EAR			
952	Jarawara	EAR	narabi/warabi	narabi	n a r a b i	n a r a b i	300.0	300	EAR			
953	Jarawara	EAR	narabi/warabi	warabi	w a r a b i	w a r a b i	300.0	300	EAR			
1311	Kulina	EAR	aɾibo	aɾibo	a ɾ i b o	- a ɾ i b o	300.0	300	EAR			
1651	Paumari	EAR	morobo / narabi	morobo	m o r o b o	m o r o b o	300.0	300	EAR			
1652	Paumari	EAR	morobo / narabi	narabi	n a r a b i	n a r a b i	300.0	300	EAR			
1856	Sorowaha	EAR	waɾoba	waɾoba	w a ɾ o b a	w a ɾ o b a	300.0	300	EAR			
11411	Jamamadi	EAR	narabi	narabi	n a r a b i	n a r a b i	300.0	300	EAR			
12175	Paumari_1833	EAR	moroboi	moroboi	m o r o b oi	m o r o b oi	300.0	300	EAR			
57	Banawa	EARTHWORM	somi	somi	s o m i	s o m i	335.0	335	EARTHWORM		YES	Of Arawak origin
334	Deni	EARTHWORM	tsʰomi	tsʰomi	tsʰ o m i	tsʰ o m i	335.0	335	EARTHWORM		YES	Of Arawak origin
663	Jamamadi	EARTHWORM	somi	somi	s o m i	s o m i	335.0	335	EARTHWORM		YES	Of Arawak origin
954	Jarawara	EARTHWORM	somi	somi	s o m i	s o m i	335.0	335	EARTHWORM		YES	Of Arawak origin
1312	Kulina	EARTHWORM	tsʰomi	tsʰomi	tsʰ o m i	tsʰ o m i	335.0	335	EARTHWORM		YES	Of Arawak origin
1857	Sorowaha	EARTHWORM	somi /sʊʊmi	somi	s o m i	s o m i	335.0	335	EARTHWORM		YES	Of Arawak origin
5189	Sorowaha	EARTHWORM	somi /sʊʊmi	sʊʊmi	s ʊː m i	s ʊː m i	335.0	335	EARTHWORM		YES	Of Arawak origin
11053	Paumari	EARTHWORM	doomi	doomi	ɗ oː m i	ɗ oː m i	335.0	335	EARTHWORM		YES	Of Arawak origin
58	Banawa	ELECTRIC EEL	imati	imati	i m a t i	- i m a t i	291.0	291	ELECTRIC.EEL			
335	Deni	ELECTRIC EEL	minati	minati	m i n a t i	m i n a t i	291.0	291	ELECTRIC.EEL			
955	Jarawara	ELECTRIC EEL	imati	imati	i m a t i	- i m a t i	291.0	291	ELECTRIC.EEL			
1314	Kulina	ELECTRIC EEL	minati	minati	m i n a t̪ i	m i n a t̪ i	291.0	291	ELECTRIC.EEL			
1653	Paumari	ELECTRIC EEL	minaɗi	minaɗi	m i n a ɗ i	m i n a ɗ i	291.0	291	ELECTRIC.EEL			
5172	Sorowaha	ELECTRIC EEL	hʊʊsuti	hʊʊsuti	h ʊː s u t i	h ʊː s u t i	419.0	394	EEL			
11412	Jamamadi	ELECTRIC EEL	imati	imati	i m a t i	i m a t i	291.0	291	ELECTRIC.EEL			
60	Banawa	FAN (OBJECT)	bihi	bihi	b i h i	b i h i	1238.0	1238	FAN			
957	Jarawara	FAN (OBJECT)	bihi	bihi	b i h i	b i h i	1238.0	1238	FAN			
5190	Sorowaha	FAN (OBJECT)	saadʊwi	saadʊwi	s aː d ʊ w i	s aː d ʊ w i	1239.0	507	FAN			
11413	Jamamadi	FAN (OBJECT)	bibi	bibi	b i b i	b i b i	1238.0	1238	FAN			
11769	Paumari	FAN (OBJECT)	maravi	maravi	m a r a β i	m a r a β i	1262.0	1317	FAN			
11873	Deni	FAN (OBJECT)	pʰepʰe	pʰepʰe	pʰ e pʰ e	pʰ e pʰ e	1417.0	1394	FAN			
11874	Kulina	FAN (OBJECT)	pʰepʰe / kakadi	pʰepʰe	pʰ e pʰ e	pʰ e pʰ e	1417.0	1394	FAN			for fire
11875	Kulina	FAN (OBJECT)	pʰepʰe / kakadi	kakadi	k a k a d i	k a k a d i	1418.0	1395	FAN			
61	Banawa	FATHER	abi	abi	a b i	a b i - -	1.0	1	FATHER			
665	Jamamadi	FATHER	abi	abi	a b i	a b i - -	1.0	1	FATHER			
959	Jarawara	FATHER	abi	abi	a b i	a b i - -	1.0	1	FATHER			
1319	Kulina	FATHER	abi	abi	a b i	a b i - -	1.0	1	FATHER			
1654	Paumari	FATHER	biʔi	biʔi	b i ʔ i	- b i ʔ i	1.0	1	FATHER			
1858	Sorowaha	FATHER	abi / ahadi	abi	a b i	a b i - -	1.0	1	FATHER			
10036	Sorowaha	FATHER	abi / ahadi	ahadi	a h a d i	a h a d i	656.0	615	FATHER			
10202	Deni	FATHER	abi	abi	a b i	a b i - -	1.0	1	FATHER			
12651	Paumari	FATHER	paʔa	paʔa	p a ʔ a	p a ʔ a	1802.0	1788	FATHER			
63	Banawa	PATERNAL AUNT (FATHER'S SISTER)	aso	aso	a s o	- - a - s o -	17.0	17	FATHER'S.SISTER			
338	Deni	PATERNAL AUNT (FATHER'S SISTER)	atsʰo / matsʰodini	atsʰo	a tsʰ o	- - a t sʰ o -	17.0	17	FATHER'S.SISTER			
594	Deni	PATERNAL AUNT (FATHER'S SISTER)	atsʰo / matsʰodini	matsʰodini	m a tsʰ o d i n i	m a tsʰ o d i n i	131.0	131	FATHER'S.SISTER			
667	Jamamadi	PATERNAL AUNT (FATHER'S SISTER)	aso	aso	a s o	- - a - s o -	17.0	17	FATHER'S.SISTER			
961	Jarawara	PATERNAL AUNT (FATHER'S SISTER)	aso	aso	a s o	- - a - s o -	17.0	17	FATHER'S.SISTER			
1320	Kulina	PATERNAL AUNT (FATHER'S SISTER)	atsʰo / matsʰodini	atsʰo	a tsʰ o	- - a t sʰ o -	17.0	17	FATHER'S.SISTER			
1603	Kulina	PATERNAL AUNT (FATHER'S SISTER)	atsʰo / matsʰodini	matsʰodini	m a tsʰ o d i n i	m a tsʰ o d i n i	131.0	131	FATHER'S.SISTER			
1656	Paumari	PATERNAL AUNT (FATHER'S SISTER)	ʔaaso / masodini	ʔaaso	ʔ a a s o	ʔ a a - s o -	17.0	17	FATHER'S.SISTER			
1814	Paumari	PATERNAL AUNT (FATHER'S SISTER)	ʔaaso / masodini	masodini	m a s o ɗ i n i	m a s o ɗ i n i	131.0	131	FATHER'S.SISTER			
1859	Sorowaha	PATERNAL AUNT (FATHER'S SISTER)	aso	aso	a s o	- - a - s o -	17.0	17	FATHER'S.SISTER			
64	Banawa	FAECES (EXCREMENT)	ijo	ijo	i j o	i j o	248.0	248	FECES			
339	Deni	FAECES (EXCREMENT)	ijo	ijo	i j o	i j o	248.0	248	FECES			
668	Jamamadi	FAECES (EXCREMENT)	ijo	ijo	i j o	i j o	248.0	248	FECES			
962	Jarawara	FAECES (EXCREMENT)	ijo	ijo	i j o	i j o	248.0	248	FECES			
1321	Kulina	FAECES (EXCREMENT)	ijo	ijo	i j o	i j o	248.0	248	FECES			
1658	Paumari	FAECES (EXCREMENT)	ijo	ijo	i j o	i j o	248.0	248	FECES			
1860	Sorowaha	FAECES (EXCREMENT)	ijo / iidʒu	ijo	i j o	i j o	248.0	248	FECES			
5010	Sorowaha	FAECES (EXCREMENT)	ijo / iidʒu	iidʒu	iː dʒ u	iː dʒ u	248.0	248	FECES			
67	Banawa	FOOD	jamata / taɸe	jamata	j a m a t a	j a m a t a - -	255.0	255	FOOD			
671	Jamamadi	FOOD	jamata / taɸe	jamata	j a m a t a	j a m a t a - -	255.0	255	FOOD			
967	Jarawara	FOOD	jamata / taɸe	jamata	j a m a t a	j a m a t a - -	255.0	255	FOOD			
1326	Kulina	FOOD	jamatapa / tapaɾi	jamatapa	j a m a t a p a	j a m a t a p a	255.0	255	FOOD			
2003	Sorowaha	FOOD	aha	aha	a h a	- a h a - -	185.0	185	FOOD			
8014	Banawa	FOOD	jamata / taɸe	taɸe	t a ɸ e	t a ɸ e - -	185.0	185	FOOD			
8015	Jamamadi	FOOD	jamata / taɸe	taɸe	t a ɸ e	t a ɸ e - -	185.0	185	FOOD			
8016	Jarawara	FOOD	jamata / taɸe	taɸe	t a ɸ e	t a ɸ e - -	185.0	185	FOOD			
8017	Kulina	FOOD	jamatapa / tapaɾi	tapaɾi	t a p a ɾ i	t a p a ɾ i	185.0	185	FOOD			
10099	Sorowaha	FOOD	zaama hawaɾu	zaama hawaɾu	z aː m a + h a w aː ɾ u	z aː m a + h a w aː ɾ u	729.0	341 594	THING ?			
10971	Paumari	FOOD	ɓai	ɓai	ɓ ai	ɓ ai	1019.0	975	FOOD			
11880	Kulina	FOOD	hihipa	hihipa	h i + h i p a	h i + h i p a	1421.0	1398 592	? EAT			
11881	Deni	FOOD	ehebuʔe	ehebuʔe	e h e b u ʔ e	e h e b u ʔ e	1422.0	1399	FOOD			
68	Banawa	FRUIT TREE	joha	joha	j o h a	j o h a	261.0	261	FRUIT.TREE			
347	Deni	FRUIT TREE	joha	joha	j o h a	j o h a	261.0	261	FRUIT.TREE			
673	Jamamadi	FRUIT TREE	joha	joha/watama	j o h a	j o h a	261.0	261	FRUIT.TREE			
674	Jamamadi	FRUIT TREE	watama	joha/watama	w a t a m a	w a t a m a	520.0	508	FRUIT.TREE			
972	Jarawara	FRUIT TREE	joha	joha/watama	j o h a	j o h a	261.0	261	FRUIT.TREE			
973	Jarawara	FRUIT TREE	watama	joha/watama	w a t a m a	w a t a m a	520.0	508	FRUIT.TREE			
1330	Kulina	FRUIT TREE	joha	joha	j o h a	j o h a	261.0	261	FRUIT.TREE			
1864	Sorowaha	FRUIT TREE	watama	watama	w a t a m a	w a t a m a	520.0	508	FRUIT.TREE			
12880	Paumari	FRUIT TREE	bono	bono	a β a + b o n o	a β a + b o n o	338.0	1878 338	? FRUIT			
73	Banawa	GUAN	daɸo	daɸo	d a ɸ o	d a ɸ o	42.0	42	GUAN			
353	Deni	GUAN	dapo	dapo	d a p o	d a p o	42.0	42	GUAN			
678	Jamamadi	GUAN	daɸo	daɸo	d a ɸ o	d a ɸ o	42.0	42	GUAN			
979	Jarawara	GUAN	taɸo	taɸo	t a ɸ o	t a ɸ o	42.0	42	GUAN			
1338	Kulina	GUAN	dapo	dapo	d a p o	d a p o	42.0	42	GUAN			
1865	Sorowaha	GUAN	daho	daho	d a h o	d a h o	42.0	42	GUAN			
11791	Paumari	GUAN	kanari	kanari	k a n a r i	k a n a r i	1377.0	1340	GUAN			
74	Banawa	HAIR	kone	kone	k o n e	k o n e	275.0	275	HAIR			
354	Deni	HAIR	kone	kone	k o n e	k o n e	275.0	275	HAIR			
679	Jamamadi	HAIR	kone	kone	k o n e	k o n e	275.0	275	HAIR			
980	Jarawara	HAIR	kona / kone	kona	k o n a	k o n a	275.0	275	HAIR			
981	Jarawara	HAIR	kona / kone	kone	k o n e	k o n e	275.0	275	HAIR			
1339	Kulina	HAIR	kona	kona	k o n a	k o n a	275.0	275	HAIR			
1866	Sorowaha	HAIR	kona / kasukɨ	kona	k o n a	k o n a	275.0	275	HAIR			
10114	Sorowaha	HAIR	kona / kasukɨ	kasukɨ	k a s u k ɨ	k a s u k ɨ	737.0	699	HAIR			
10240	Paumari	HAIR	afa	afa	a f a	a f a	813.0	11	LEAF			
12158	Paumari_1833	HAIR	boi	boi	b oi	b oi	1514.0	1497	HAIR			
75	Banawa	HAMMOCK	jiɸo	jiɸo	j i ɸ o	j i ɸ o	260.0	260	HAMMOCK			
355	Deni	HAMMOCK	phoʔi	phoʔi	pʰ o ʔ i	pʰ o ʔ i	260.0	260	HAMMOCK			
680	Jamamadi	HAMMOCK	jiɸo	jiɸo	j i ɸ o	j i ɸ o	260.0	260	HAMMOCK			
982	Jarawara	HAMMOCK	jiɸo	jiɸo	j i ɸ o	j i ɸ o	260.0	260	HAMMOCK			
1340	Kulina	HAMMOCK	pʰoʔi	pʰoʔi	pʰ o ʔ i	pʰ o ʔ i	260.0	260	HAMMOCK			
1867	Sorowaha	HAMMOCK	howi	howi	h o w i	h o w i	260.0	260	HAMMOCK			
12138	Paumari_1833	HAMMOCK	kude kisaua	kude kisaua	k u d e + k i s au a	k u d e + k i s au a	1508.0	1490 2053	HAMMOCK ?			
76	Banawa	HEAD	tati	tati	t a t i	t a t i	44.0	44	HEAD			
357	Deni	HEAD	tati	tati	t a t i	t a t i	44.0	44	HEAD			
681	Jamamadi	HEAD	tati	tati	t a t i	t a t i	44.0	44	HEAD			
985	Jarawara	HEAD	tati	tati	t a t i	t a t i	44.0	44	HEAD			
1344	Kulina	HEAD	tati	tati	t a t i	t a t i	44.0	44	HEAD			
1667	Paumari	HEAD	ɗaɗi / inakɨ / atɨ	ɗaɗi	ɗ a ɗ i	ɗ a ɗ i	44.0	44	HEAD			
10241	Paumari	HEAD	ɗaɗi / inakɨ / atɨ	atɨ	a t ɨ	a t ɨ	44.0	44	HEAD			also means forehead or face
10242	Paumari	HEAD	ɗaɗi / inakɨ / atɨ	inakɨ	i n a k ɨ	i n a k ɨ	814.0	770	HEAD			refers to the upper part of any object
11817	Paumari_1833	HEAD	nda dɨni	nda dɨni	n/d a + d ɨ n i	n/d a + d ɨ n i	44.0	44 1386	HEAD ?			
78	Banawa	HEAVY	kanaha	kanaha	k a n a h a	k a n a h a	279.0	279	HEAVY			
358	Deni	HEAVY	kanaha	kanaha	k a n a h a	k a n a h a	279.0	279	HEAVY			
1346	Kulina	HEAVY	kʰanaha	kʰanaha	kʰ a n a h a	kʰ a n a h a	279.0	279	HEAVY			
1668	Paumari	HEAVY	khana	khana	kʰ a n a	kʰ a n a - -	279.0	279	HEAVY			
10105	Sorowaha	HEAVY	kazaha / kaza	kazaha	k a z a h a	k a z a h a	279.0	279	HEAVY			
10106	Sorowaha	HEAVY	kazaha / kaza	kaza	k a z a	k a z a	279.0	279	HEAVY			
10245	Jarawara	HEAVY	kanaha	kanaha	k a n a h a	k a n a h a	279.0	279	HEAVY			
11519	Jamamadi	HEAVY	kanaha	kanaha	k a n a h a	k a n a h a	279.0	279	HEAVY			
79	Banawa	HERE	ahi	ahi	a h i	a h i - -	204.0	204	HERE			
359	Deni	HERE	ahi	ahi	a h i	a h i - -	204.0	204	HERE			
682	Jamamadi	HERE	ahi	ahi	a h i	a h i - -	204.0	204	HERE			
986	Jarawara	HERE	ahi	ahi	a h i	a h i - -	204.0	204	HERE			
1347	Kulina	HERE	ahi	ahi	a h i	a h i - -	204.0	204	HERE			
1669	Paumari	HERE	hida	hida	h i ɗ a	- h i ɗ a	204.0	204	HERE			
1869	Sorowaha	HERE	hia / hʲaa	hia	h i a	- h i - a	204.0	204	HERE			
5153	Sorowaha	HERE	hia / hʲaa	hʲaa	hʲ aː	- hʲ aː - -	204.0	204	HERE			
82	Banawa	MOUNTAIN OR HILL	adami	adami	a d a m i	a d a m i	3.0	3	HILL			
361	Deni	MOUNTAIN OR HILL	adami	adami	a d a m i	a d a m i	3.0	3	HILL			
684	Jamamadi	MOUNTAIN OR HILL	adami	adami	a d a m i	a d a m i	3.0	3	HILL			
989	Jarawara	MOUNTAIN OR HILL	atami	atami	a t a m i	a t a m i	3.0	3	HILL			
1349	Kulina	MOUNTAIN OR HILL	adami	adami	a d a m i	a d a m i	3.0	3	HILL			
1671	Paumari	MOUNTAIN OR HILL	adami	adami	a ɗ a m i	a ɗ a m i	3.0	3	HILL			
1870	Sorowaha	MOUNTAIN OR HILL	adami	adami	a d a m i	a d a m i	3.0	3	EARTH			ada = earth?
11850	Paumari_1833	MOUNTAIN OR HILL	arabu	arabu	a r a b u	a r a b u	1409.0	1385	MOUNTAIN			
84	Banawa	HOLE	hodi	hodi	h o d i	h o d i	246.0	246	HOLE			
364	Deni	HOLE	odi	odi	o d i	- o d i	246.0	246	HOLE			
685	Jamamadi	HOLE	hodi	hodi	h o d i	h o d i	246.0	246	HOLE			
991	Jarawara	HOLE	hoti	hoti	h o t i	h o t i	246.0	246	HOLE			
1351	Kulina	HOLE	odi	odi	o d i	- o d i	246.0	246	HOLE			
1674	Paumari	HOLE	hodi	hodi	h o ɗ i	h o ɗ i	246.0	246	HOLE			
10155	Sorowaha	HOLE	dadɨ	dadɨ	d a d ɨ	d a d ɨ	246.0	246	HOLE			
85	Banawa	HOWLER MONKEY	jiko	jiko	j i k o	j i k - - o	252.0	252	HOWLER.MONKEY			
366	Deni	HOWLER MONKEY	jajiʔo	jajiʔo	j a j i ʔ o	j a j i ʔ o	252.0	252	HOWLER.MONKEY			
686	Jamamadi	HOWLER MONKEY	jiko	jiko	j i k o	j i k - - o	252.0	252	HOWLER.MONKEY			
992	Jarawara	HOWLER MONKEY	jiko	jiko	j i k o	j i k - - o	252.0	252	HOWLER.MONKEY			
1353	Kulina	HOWLER MONKEY	jajio	jajio	j a j i o	j a j i - o	252.0	252	HOWLER.MONKEY			
1675	Paumari	HOWLER MONKEY	kaβina	kaβina	k a β i n a	k a β i n - a	522.0	511	HOWLER.MONKEY			
1871	Sorowaha	HOWLER MONKEY	kania	kania	k a n i a	k a - - n i a	522.0	511	HOWLER.MONKEY			
12082	Paumari_1833	HOWLER MONKEY	kaβina	kaβina	k a β i n a	k a β i n a	522.0	511	HOWLER.MONKEY			
88	Banawa	INSIDE	bodi/dori	bodi	b o d i	b o d i	30.0	30	INSIDE			bodi/bodone
91	Banawa	INSIDE	bodi/dori	dori	d o r i	d o r i	342.0	342	INSIDE.PART			dori/doro
368	Deni	INSIDE	bodi	bodi	b o d i	b o d i	30.0	30	INSIDE			
